Time,Val-,Sig
             48900,                -0,                 0
             49000,                -0,                 0
             49100,   -0.019999999553,    0.019999999553
             49200,                -0,                 0
             49300,                -0,                 0
             49400,                -0,                 0
             49500,                -0,                 0
             49600, -0.00999999977648,  0.00999999977648
             49700,  -0.0173205081373,   0.0173205081373
             49800, -0.00999999977648,  0.00999999977648
             49900,                -0,                 0
          56260000,                -0,                 0
          56260100,                -0,                 0
          56260200,                -0,                 0
          56260300,                -0,                 0
          56260400,                -0,                 0
          56260500,                -0,                 0
          56260600,                -0,                 0
          56260700,                -0,                 0
          56260800,                -0,                 0
          56260900,                -0,                 0
          56261000,                -0,                 0
          56261100,                -0,                 0
          56261200,                -0,                 0
          56261300,  -0.0141421342269,   0.0141421342269
          56261400,  -0.0141421342269,   0.0141421342269
          56261500,                -0,                 0
          56261600, -0.00999999977648,  0.00999999977648
          56261700,                -0,                 0
          56261800, -0.00999999977648,  0.00999999977648
          56261900,                -0,                 0
          56262000, -0.00999999977648,  0.00999999977648
          56262100,                -0,                 0
          56262200, -0.00999999977648,  0.00999999977648
          56262300, -0.00999999977648,  0.00999999977648
          56262400,  -0.0141421342269,   0.0141421342269
          56262500, -0.00999999977648,  0.00999999977648
          56262600,   -0.019999999553,    0.019999999553
          56262700,  -0.0141421342269,   0.0141421342269
          56262800, -0.00999999977648,  0.00999999977648
          56262900,                -0,                 0
          56263000,  -0.0141421342269,   0.0141421342269
          56263100,  -0.0141421342269,   0.0141421342269
          56263200, -0.00999999977648,  0.00999999977648
          56263300,  -0.0141421342269,   0.0141421342269
          56263400, -0.00999999977648,  0.00999999977648
          56263500,  -0.0173205081373,   0.0173205081373
          56263600, -0.00999999977648,  0.00999999977648
          56263700, -0.00999999977648,  0.00999999977648
          56263800, -0.00999999977648,  0.00999999977648
          56263900, -0.00999999977648,  0.00999999977648
          56264000, -0.00999999977648,  0.00999999977648
          56264100,                -0,                 0
          56264200, -0.00999999977648,  0.00999999977648
          56264300, -0.00999999977648,  0.00999999977648
          56264400, -0.00999999977648,  0.00999999977648
          56264500,                -0,                 0
          56264600,  -0.0173205081373,   0.0173205081373
          56264700, -0.00999999977648,  0.00999999977648
          56264800,  -0.0141421342269,   0.0141421342269
          56264900,  -0.0141421342269,   0.0141421342269
          56265000,                -0,                 0
          56265100, -0.00999999977648,  0.00999999977648
          56265200,  -0.0141421342269,   0.0141421342269
          56265300,  -0.0141421342269,   0.0141421342269
          56265400,                -0,                 0
          56265500,                -0,                 0
          56265600,                -0,                 0
          56265700,  -0.0173205081373,   0.0173205081373
          56265800, -0.00999999977648,  0.00999999977648
          56265900, -0.00999999977648,  0.00999999977648
          56266000,  -0.0141421342269,   0.0141421342269
          56266100,  -0.0173205081373,   0.0173205081373
          56266200,  -0.0173205081373,   0.0173205081373
          56266300,                -0,                 0
          56266400,  -0.0141421342269,   0.0141421342269
          56266500, -0.00999999977648,  0.00999999977648
          56266600, -0.00999999977648,  0.00999999977648
          56266700, -0.00999999977648,  0.00999999977648
          56266800,                -0,                 0
          56266900,   -0.019999999553,    0.019999999553
          56267000, -0.00999999977648,  0.00999999977648
          56267100,   -0.019999999553,    0.019999999553
          56267200,                -0,                 0
          56267300,  -0.0141421342269,   0.0141421342269
          56267400, -0.00999999977648,  0.00999999977648
          56267500, -0.00999999977648,  0.00999999977648
          56267600,                -0,                 0
          56267700, -0.00999999977648,  0.00999999977648
          56267800,                -0,                 0
          56267900,                -0,                 0
          56268000, -0.00999999977648,  0.00999999977648
          56268100,                -0,                 0
          56268200, -0.00999999977648,  0.00999999977648
          56268300,  -0.0141421342269,   0.0141421342269
          56268400, -0.00999999977648,  0.00999999977648
          56268500, -0.00999999977648,  0.00999999977648
          56268600, -0.00999999977648,  0.00999999977648
          56268700,                -0,                 0
          56268800, -0.00999999977648,  0.00999999977648
          56268900,                -0,                 0
          56269000,  -0.0141421342269,   0.0141421342269
          56269100,                -0,                 0
          56269200,                -0,                 0
          56269300,                -0,                 0
          56269400, -0.00999999977648,  0.00999999977648
          56269500, -0.00999999977648,  0.00999999977648
          56269600, -0.00999999977648,  0.00999999977648
          56269700, -0.00999999977648,  0.00999999977648
          56269800,                -0,                 0
          56269900, -0.00999999977648,  0.00999999977648
          56270000, -0.00999999977648,  0.00999999977648
          56270100,                -0,                 0
          56270200, -0.00999999977648,  0.00999999977648
          56270300, -0.00999999977648,  0.00999999977648
          56270400, -0.00999999977648,  0.00999999977648
          56270500, -0.00999999977648,  0.00999999977648
          56270600,  -0.0141421342269,   0.0141421342269
          56270700,  -0.0141421342269,   0.0141421342269
          56270800,  -0.0141421342269,   0.0141421342269
          56270900,  -0.0141421342269,   0.0141421342269
          56271000, -0.00999999977648,  0.00999999977648
          56271100, -0.00999999977648,  0.00999999977648
          56271200,                -0,                 0
          56271300,                -0,                 0
          56271400,                -0,                 0
          56271500, -0.00999999977648,  0.00999999977648
          56271600, -0.00999999977648,  0.00999999977648
          56271700,                -0,                 0
          56271800, -0.00999999977648,  0.00999999977648
          56271900, -0.00999999977648,  0.00999999977648
          56272000, -0.00999999977648,  0.00999999977648
          56272100,                -0,                 0
          56272200,  -0.0141421342269,   0.0141421342269
          56272300,                -0,                 0
          56272400, -0.00999999977648,  0.00999999977648
          56272500,                -0,                 0
          56272600,                -0,                 0
          56272700,                -0,                 0
          56272800, -0.00999999977648,  0.00999999977648
          56272900, -0.00999999977648,  0.00999999977648
          56273000, -0.00999999977648,  0.00999999977648
          56273100,  -0.0141421342269,   0.0141421342269
          56273200,  -0.0141421342269,   0.0141421342269
          56273300, -0.00999999977648,  0.00999999977648
          56273400,  -0.0173205081373,   0.0173205081373
          56273500, -0.00999999977648,  0.00999999977648
          56273600,  -0.0141421342269,   0.0141421342269
          56273700,                -0,                 0
          56273800,                -0,                 0
          56273900,                -0,                 0
          56274000, -0.00999999977648,  0.00999999977648
          56274100,                -0,                 0
          56274200, -0.00999999977648,  0.00999999977648
          56274300, -0.00999999977648,  0.00999999977648
          56274400, -0.00999999977648,  0.00999999977648
          56274500, -0.00999999977648,  0.00999999977648
          56274600,                -0,                 0
          56274700,                -0,                 0
          56274800,                -0,                 0
          56274900,                -0,                 0
          56275000,  -0.0141421342269,   0.0141421342269
          56275100,                -0,                 0
          56275200,                -0,                 0
          56275300,                -0,                 0
          56275400,                -0,                 0
