Phase(F=0.0000)(P=51715.538245)),Val-,Mean-,Sigma,Num
0.355792,                -0,-0.00566439,0,1276
0.357726,                -0,-0.00564099,0,1277
0.35966,                -0,-0.00561795,0,1278
0.361593, -0.00999999977648,-0.00559533,0.01,1279
0.363527,                -0,-0.00557314,0,1280
0.365461,  -0.0141421342269,-0.00555143,0.0141421,1281
0.367394,                -0,-0.00553022,0,1282
0.369328,  -0.0141421342269,-0.00550956,0.0141421,1283
0.371262,                -0,-0.00548947,0,1284
0.373195, -0.00999999977648,-0.00546998,0.01,1285
0.375129,                -0,-0.00545114,0,1286
0.377063,                -0,-0.00543297,0,1287
0.378996,                -0,-0.00541551,0,1288
0.38093,                -0,-0.00539879,0,1289
0.382864,                -0,-0.00538284,0,1290
0.384797,                -0,-0.0053677,0,1291
0.386731, -0.00999999977648,-0.0053534,0.01,1292
0.388665,  -0.0173205081373,-0.00533997,0.0173205,1293
0.390598, -0.00999999977648,-0.00532745,0.01,1294
0.392532,                -0,-0.00531587,0,1295
0.394466, -0.00999999977648,-0.00530527,0.01,1296
0.396399,                -0,-0.00529567,0,1297
0.398333,                -0,-0.00528712,0,1298
0.400267,                -0,-0.00527964,0,1299
0.4022,                -0,-0.00527325,0,1300
0.404134,                -0,-0.00526793,0,1301
0.406068,                -0,-0.00526365,0,1302
0.408001,  -0.0141421342269,-0.00526038,0.0141421,1303
0.409935,                -0,-0.0052581,0,1304
0.411868,  -0.0141421342269,-0.00525677,0.0141421,1305
0.413802,  -0.0141421342269,-0.00525637,0.0141421,1306
0.415736,  -0.0141421342269,-0.00525686,0.0141421,1307
0.417669, -0.00999999977648,-0.00525822,0.01,1308
0.419603,                -0,-0.00526042,0,1309
0.421537,                -0,-0.00526343,0,1310
0.42347, -0.00999999977648,-0.00526722,0.01,1311
0.425404,                -0,-0.00527176,0,1312
0.427338,  -0.0141421342269,-0.00527702,0.0141421,1313
0.429271, -0.00999999977648,-0.00528298,0.01,1314
0.431205,  -0.0141421342269,-0.0052896,0.0141421,1315
0.433139, -0.00999999977648,-0.00529685,0.01,1316
0.435072,  -0.0141421342269,-0.00530472,0.0141421,1317
0.437006,  -0.0173205081373,-0.00531316,0.0173205,1318
0.43894,                -0,-0.00532215,0,1319
0.440873, -0.00999999977648,-0.00533166,0.01,1320
0.442807,                -0,-0.00534166,0,1321
0.444741,                -0,-0.00535213,0,1322
0.446674,  -0.0141421342269,-0.00536302,0.0141421,1323
0.448608,                -0,-0.00537432,0,1324
0.450542,  -0.0173205081373,-0.005386,0.0173205,1325
0.452475,                -0,-0.00539802,0,1326
0.454409,                -0,-0.00541036,0,1327
0.456343,                -0,-0.00542299,0,1328
0.458276, -0.00999999977648,-0.00543588,0.01,1329
0.46021, -0.00999999977648,-0.00544899,0.01,1330
0.462144,                -0,-0.00546231,0,1331
0.464077,                -0,-0.0054758,0,1332
0.466011,                -0,-0.00548944,0,1333
0.467944, -0.00999999977648,-0.00550319,0.01,1334
0.469878, -0.00999999977648,-0.00551702,0.01,1335
0.471812,                -0,-0.00553092,0,1336
0.473745,                -0,-0.00554484,0,1337
0.475679,  -0.0141421342269,-0.00555875,0.0141421,1338
0.477613,                -0,-0.00557264,0,1339
0.479546,                -0,-0.00558647,0,1340
0.48148,                -0,-0.00560021,0,1341
0.483414,                -0,-0.00561384,0,1342
0.485347,                -0,-0.00562732,0,1343
0.487281, -0.00999999977648,-0.00564062,0.01,1344
0.489215,                -0,-0.00565372,0,1345
0.491148,                -0,-0.00566659,0,1346
0.493082,                -0,-0.00567919,0,1347
0.495016,                -0,-0.00569151,0,1348
0.496949,                -0,-0.0057035,0,1349
0.498883,                -0,-0.00571515,0,1350
0.500817,                -0,-0.00572642,0,1351
0.50275,                -0,-0.0057373,0,1352
0.504684, -0.00999999977648,-0.00574779,0.01,1353
0.506618,  -0.0141421342269,-0.00575792,0.0141421,1354
0.508551,                -0,-0.00576768,0,1355
0.510485, -0.00999999977648,-0.00577709,0.01,1356
0.512419,                -0,-0.00578615,0,1357
0.514352, -0.00999999977648,-0.00579488,0.01,1358
0.516286, -0.00999999977648,-0.00580328,0.01,1359
0.518219,                -0,-0.00581135,0,1360
0.520153, -0.00999999977648,-0.00581912,0.01,1361
0.522087,  -0.0141421342269,-0.00582659,0.0141421,1362
0.52402, -0.00999999977648,-0.00583377,0.01,1363
0.525954,                -0,-0.00584066,0,1364
0.527888, -0.00999999977648,-0.00584728,0.01,1365
0.529821,                -0,-0.00585364,0,1366
0.531755, -0.00999999977648,-0.00585974,0.01,1367
0.533689,                -0,-0.00586559,0,1368
0.535622,                -0,-0.00587121,0,1369
0.537556, -0.00999999977648,-0.00587659,0.01,1370
0.53949, -0.00999999977648,-0.00588176,0.01,1371
0.541423, -0.00999999977648,-0.00588671,0.01,1372
0.543357,                -0,-0.00589147,0,1373
0.545291,                -0,-0.00589603,0,1374
0.547224, -0.00999999977648,-0.0059004,0.01,1375
0.549158,                -0,-0.0059046,0,1376
0.551092, -0.00999999977648,-0.00590864,0.01,1377
0.553025, -0.00999999977648,-0.00591252,0.01,1378
0.554959,                -0,-0.00591625,0,1379
0.556893,                -0,-0.00591984,0,1380
0.558826,                -0,-0.0059233,0,1381
0.56076, -0.00999999977648,-0.00592664,0.01,1382
0.562694,                -0,-0.00592987,0,1383
0.564627, -0.00999999977648,-0.00593299,0.01,1384
0.566561, -0.00999999977648,-0.00593602,0.01,1385
0.568495,                -0,-0.00593896,0,1386
0.570428, -0.00999999977648,-0.00594183,0.01,1387
0.572362, -0.00999999977648,-0.00594463,0.01,1388
0.574295,                -0,-0.00594738,0,1389
0.576229, -0.00999999977648,-0.00595007,0.01,1390
0.578163, -0.00999999977648,-0.00595272,0.01,1391
0.580096,                -0,-0.00595534,0,1392
0.58203,                -0,-0.00595794,0,1393
0.583964,  -0.0141421342269,-0.00596053,0.0141421,1394
0.585897,                -0,-0.00596311,0,1395
0.587831,                -0,-0.0059657,0,1396
0.589765, -0.00999999977648,-0.0059683,0.01,1397
0.591698,                -0,-0.00597092,0,1398
0.593632, -0.00999999977648,-0.00597357,0.01,1399
0.595566, -0.00999999977648,-0.00597626,0.01,1400
0.597499,                -0,-0.00597901,0,1401
0.599433,                -0,-0.00598181,0,1402
0.601367, -0.00999999977648,-0.00598468,0.01,1403
0.6033,                -0,-0.0059876,0,1404
0.605234,                -0,-0.00599058,0,1405
0.607168, -0.00999999977648,-0.00599359,0.01,1406
0.609101,                -0,-0.00599661,0,1407
0.611035, -0.00999999977648,-0.00599964,0.01,1408
0.612969,                -0,-0.00600267,0,1409
0.614902,                -0,-0.00600567,0,1410
0.616836, -0.00999999977648,-0.00600863,0.01,1411
0.61877, -0.00999999977648,-0.00601155,0.01,1412
0.620703, -0.00999999977648,-0.0060144,0.01,1413
0.622637,                -0,-0.00601717,0,1414
0.624571,                -0,-0.00601985,0,1415
0.626504,                -0,-0.00602243,0,1416
0.628438,                -0,-0.00602489,0,1417
0.630371, -0.00999999977648,-0.00602722,0.01,1418
0.632305,  -0.0141421342269,-0.0060294,0.0141421,1419
0.634239,                -0,-0.00603142,0,1420
0.636172,                -0,-0.00603327,0,1421
0.638106,                -0,-0.00603493,0,1422
0.64004,                -0,-0.00603638,0,1423
0.641973,  -0.0141421342269,-0.00603763,0.0141421,1424
0.643907, -0.00999999977648,-0.00603864,0.01,1425
0.645841,                -0,-0.00603942,0,1426
0.647774, -0.00999999977648,-0.00603993,0.01,1427
0.649708,                -0,-0.00604018,0,1428
0.651642,  -0.0141421342269,-0.00604014,0.0141421,1429
0.653575, -0.00999999977648,-0.00603981,0.01,1430
0.655509,                -0,-0.00603916,0,1431
0.657443,  -0.0141421342269,-0.00603819,0.0141421,1432
0.659376,                -0,-0.00603688,0,1433
0.66131, -0.00999999977648,-0.00603522,0.01,1434
0.663244, -0.00999999977648,-0.00603319,0.01,1435
0.665177,                -0,-0.00603078,0,1436
0.667111,                -0,-0.00602798,0,1437
0.669045,  -0.0141421342269,-0.00602477,0.0141421,1438
0.670978,                -0,-0.00602114,0,1439
0.672912,                -0,-0.00601707,0,1440
0.674846, -0.00999999977648,-0.00601256,0.01,1441
0.676779,                -0,-0.00600758,0,1442
0.678713, -0.00999999977648,-0.00600213,0.01,1443
0.680646,                -0,-0.00599618,0,1444
0.68258,                -0,-0.00598974,0,1445
0.684514, -0.00999999977648,-0.00598277,0.01,1446
0.686447,                -0,-0.00597527,0,1447
0.688381,                -0,-0.00596723,0,1448
0.690315,                -0,-0.00595863,0,1449
0.692248, -0.00999999977648,-0.00594946,0.01,1450
0.694182,                -0,-0.0059397,0,1451
0.696116, -0.00999999977648,-0.00592934,0.01,1452
0.698049,  -0.0141421342269,-0.00591837,0.0141421,1453
0.699983,                -0,-0.00590676,0,1454
0.701917,  -0.0141421342269,-0.00589453,0.0141421,1455
0.70385,  -0.0141421342269,-0.00588168,0.0141421,1456
0.705784,  -0.0141421342269,-0.00586825,0.0141421,1457
0.707718,                -0,-0.00585427,0,1458
0.709651, -0.00999999977648,-0.00583977,0.01,1459
0.711585,                -0,-0.00582478,0,1460
