Frequency,Theta
7.64237e-06,0.985311
7.64698e-06,0.986007
7.65159e-06,0.985907
7.6562e-06,0.986444
7.66081e-06,0.985423
7.66542e-06,0.986679
7.67004e-06,0.986601
7.67465e-06,0.986864
7.67926e-06,0.985513
7.68387e-06,0.98686
7.68848e-06,0.986847
7.69309e-06,0.986615
7.6977e-06,0.986334
7.70231e-06,0.985046
7.70693e-06,0.986303
7.71154e-06,0.985481
7.71615e-06,0.985839
7.72076e-06,0.986485
7.72537e-06,0.985833
7.72998e-06,0.984886
7.73459e-06,0.986091
7.7392e-06,0.986036
7.74382e-06,0.988479
7.74843e-06,0.987547
7.75304e-06,0.986568
7.75765e-06,0.985419
7.76226e-06,0.982913
7.76687e-06,0.983819
7.77148e-06,0.982588
7.77609e-06,0.979093
7.78071e-06,0.977717
7.78532e-06,0.977393
7.78993e-06,0.979562
7.79454e-06,0.981133
7.79915e-06,0.981813
7.80376e-06,0.98369
7.80837e-06,0.98338
7.81298e-06,0.983786
7.8176e-06,0.984164
7.82221e-06,0.982481
7.82682e-06,0.982448
7.83143e-06,0.983194
7.83604e-06,0.984048
7.84065e-06,0.983894
7.84526e-06,0.984727
7.84987e-06,0.985663
7.85449e-06,0.985297
7.8591e-06,0.986403
7.86371e-06,0.987659
7.86832e-06,0.9884
7.87293e-06,0.987807
7.87754e-06,0.988281
7.88215e-06,0.989508
7.88676e-06,0.98871
7.89138e-06,0.988848
7.89599e-06,0.989544
7.9006e-06,0.989992
7.90521e-06,0.988735
7.90982e-06,0.987995
7.91443e-06,0.99031
7.91904e-06,0.988808
7.92366e-06,0.988595
7.92827e-06,0.990526
7.93288e-06,0.989516
7.93749e-06,0.988394
7.9421e-06,0.989787
7.94671e-06,0.99164
7.95132e-06,0.991344
7.95593e-06,0.991968
7.96055e-06,0.992739
7.96516e-06,0.992074
7.96977e-06,0.992313
7.97438e-06,0.993423
7.97899e-06,0.992773
7.9836e-06,0.991327
7.98821e-06,0.991612
7.99282e-06,0.992576
7.99744e-06,0.992605
8.00205e-06,0.992208
8.00666e-06,0.991812
8.01127e-06,0.992163
8.01588e-06,0.991726
8.02049e-06,0.991096
8.0251e-06,0.990613
8.02971e-06,0.989563
8.03433e-06,0.98922
8.03894e-06,0.989323
8.04355e-06,0.991411
8.04816e-06,0.989259
8.05277e-06,0.989026
8.05738e-06,0.989928
8.06199e-06,0.989648
8.0666e-06,0.988987
8.07122e-06,0.988976
8.07583e-06,0.988401
8.08044e-06,0.987739
8.08505e-06,0.988328
8.08966e-06,0.989802
8.09427e-06,0.990161
8.09888e-06,0.990609
8.10349e-06,0.989344
8.10811e-06,0.99162
8.11272e-06,0.991484
8.11733e-06,0.990269
8.12194e-06,0.990477
8.12655e-06,0.990364
8.13116e-06,0.98859
8.13577e-06,0.989322
8.14038e-06,0.990665
8.145e-06,0.987428
8.14961e-06,0.987434
8.15422e-06,0.988412
8.15883e-06,0.989131
8.16344e-06,0.988557
8.16805e-06,0.987596
8.17266e-06,0.987373
8.17727e-06,0.987488
8.18189e-06,0.987404
8.1865e-06,0.988944
8.19111e-06,0.987898
8.19572e-06,0.987823
8.20033e-06,0.987073
8.20494e-06,0.988914
8.20955e-06,0.987558
8.21417e-06,0.986027
8.21878e-06,0.984802
8.22339e-06,0.985335
8.228e-06,0.986103
8.23261e-06,0.985334
8.23722e-06,0.987212
8.24183e-06,0.986285
8.24644e-06,0.985097
8.25106e-06,0.98573
8.25567e-06,0.986028
8.26028e-06,0.98371
8.26489e-06,0.982814
8.2695e-06,0.981866
8.27411e-06,0.980641
8.27872e-06,0.977915
8.28333e-06,0.97705
8.28795e-06,0.977794
8.29256e-06,0.979404
8.29717e-06,0.980978
8.30178e-06,0.982445
8.30639e-06,0.982256
8.311e-06,0.982769
8.31561e-06,0.982664
8.32022e-06,0.983642
8.32484e-06,0.982772
8.32945e-06,0.983042
8.33406e-06,0.98353
8.33867e-06,0.98391
8.34328e-06,0.983078
8.34789e-06,0.983128
8.3525e-06,0.983737
8.35711e-06,0.982872
8.36173e-06,0.980551
8.36634e-06,0.98278
8.37095e-06,0.982719
8.37556e-06,0.982376
8.38017e-06,0.984104
8.38478e-06,0.98257
8.38939e-06,0.980942
8.394e-06,0.981952
8.39862e-06,0.981978
8.40323e-06,0.979995
8.40784e-06,0.979597
8.41245e-06,0.979601
8.41706e-06,0.981526
8.42167e-06,0.981236
8.42628e-06,0.982428
8.43089e-06,0.984773
8.43551e-06,0.98507
8.44012e-06,0.985255
8.44473e-06,0.986037
8.44934e-06,0.988276
8.45395e-06,0.988335
8.45856e-06,0.989042
8.46317e-06,0.98982
8.46778e-06,0.990345
8.4724e-06,0.98999
8.47701e-06,0.990669
8.48162e-06,0.990047
8.48623e-06,0.989713
8.49084e-06,0.989899
8.49545e-06,0.990091
8.50006e-06,0.988423
8.50468e-06,0.98728
8.50929e-06,0.985992
8.5139e-06,0.987459
8.51851e-06,0.986057
