X,Resid
         217563400,-0.0052971
         217563500,0.00885376
         217563600,-0.00528073
         217563700,0.00472583
         217563800,-0.00526868
         217563900,-0.00526425
         217564000,-0.00526082
         217564100,0.00474161
         217564200,-0.00525692
         217564300,-0.00525637
         217564400,-0.00525673
         217564500,-0.00525795
         217564600,-0.00526002
         217564700,-0.00526291
         217564800,-0.00526658
         217564900,0.00887113
         217565000,-0.00527616
         217565100,0.00471799
         217565200,-0.00528853
         217565300,-0.00529569
         217565400,-0.00530346
         217565500,-0.00531181
         217565600,-0.00532072
         217565700,-0.00533015
         217565800,0.00465992
         217565900,-0.00535047
         217566000,0.0046387
         217566100,0.00462746
         217566200,0.00461584
         217566300,-0.00539613
         217566400,0.0119121
         217566500,-0.00542101
         217566600,0.00456614
         217566700,0.00455306
         217566800,-0.00546023
         217566900,-0.0054737
         217567000,-0.00548731
         217567100,0.00449895
         217567200,0.0144851
         217567300,0.00447125
         217567400,-0.00554267
         217567500,0.00444341
         217567600,0.00442951
         217567700,0.00441567
         217567800,0.00440191
         217567900,0.0085304
         217568000,0.0085169
         217568100,0.00436143
         217568200,0.0043483
         217568300,-0.0056646
         217568400,-0.00567725
         217568500,-0.00568961
         217568600,0.00844047
         217568700,-0.00571336
         217568800,0.00841744
         217568900,-0.00573563
         217569000,0.00425381
         217569100,0.00838576
         217569200,-0.00576619
         217569300,-0.00577565
         217569400,0.00835737
         217569500,0.00420646
         217569600,-0.00580199
         217569700,-0.00581012
         217569800,-0.00581794
         217569900,-0.00582545
         217570000,-0.00583267
         217570100,0.00416039
         217570200,-0.00584627
         217570300,0.00414733
         217570400,-0.00585881
         217570500,0.0114558
         217570600,0.00412965
         217570700,-0.00587577
         217570800,-0.00588097
         217570900,-0.00588596
         217571000,0.00410926
         217571100,0.0114252
         217571200,0.00410026
         217571300,-0.00590396
         217571400,-0.00590802
         217571500,0.00408807
         217571600,0.00408432
         217571700,-0.00591929
         217571800,0.0113977
         217571900,0.00407387
         217572000,0.00407063
         217572100,0.00820962
         217572200,-0.00593555
         217572300,-0.00593851
         217572400,0.00405861
         217572500,-0.0059442
         217572600,0.00405305
         217572700,-0.00594965
         217572800,0.00404769
         217572900,-0.00595494
         217573000,-0.00595754
         217573100,0.00403987
         217573200,0.00403729
         217573300,0.00403471
         217573400,-0.00596789
         217573500,0.00817163
         217573600,-0.00597316
         217573700,0.00816629
         217573800,0.00816356
         217573900,0.00401863
         217574000,0.00815791
         217574100,0.00815499
         217574200,-0.00599011
         217574300,0.00400688
         217574400,0.00400386
         217574500,-0.00599917
         217574600,0.0039978
         217574700,0.0113153
         217574800,0.00399183
         217574900,-0.0060111
         217575000,0.00812818
         217575100,0.00398326
         217575200,-0.00601944
         217575300,0.00397796
         217575400,-0.00602452
         217575500,-0.00602686
         217575600,-0.00602907
         217575700,-0.00603111
         217575800,0.00810914
         217575900,-0.00603468
         217576000,-0.00603617
         217576100,0.0112831
         217576200,0.011282
         217576300,0.00810282
         217576400,0.00396013
         217576500,0.00395984
         217576600,-0.00604017
         217576700,-0.00603988
         217576800,0.00396072
         217576900,-0.00603836
         217577000,0.0112834
         217577100,0.00810663
         217577200,0.00396647
         217577300,-0.00603118
         217577400,-0.00602844
         217577500,0.00811684
         217577600,-0.00602173
         217577700,-0.00601773
         217577800,0.00812884
         217577900,-0.00600839
         217578000,-0.00600301
         217578100,0.00400286
         217578200,0.00400923
         217578300,-0.00598389
         217578400,0.011344
         217578500,-0.00596852
         217578600,-0.00596001
         217578700,0.00404908
         217578800,-0.00594126
         217578900,0.00406901
         217579000,0.0140799
         217579100,0.00409139
         217579200,0.00410353
         217579300,0.00411628
         217579400,0.00412962
         217579500,0.00414352
         217579600,-0.00584206
         217579700,0.00831499
         217579800,-0.00581176
         217579900,0.00420405
         219509500,-0.00542985
         219509600,-0.00545893
         219509700,-0.00548871
         219509800,-0.00551916
         219509900,-0.00555021
         219510000,-0.00558183
         219510100,-0.00561397
         219510200,-0.00564656
         219510300,-0.00567958
         219510400,-0.00571296
         219510500,-0.00574666
         219510600,-0.00578062
         219510700,-0.00581481
         219510800,-0.00584917
         219510900,0.00411635
         219511000,0.00822393
         219511100,0.00818935
         219511200,0.00815479
         219511300,-0.00602183
         219511400,-0.00605619
         219511500,0.0112301
         219511600,0.00387565
         219511700,-0.00615805
         219511800,0.00380856
         219511900,-0.00622445
         219512000,-0.00625706
         219512100,-0.0062892
         219512200,-0.00632082
